2017 Oct 11 16:57:47 [9] INFO  - Dates,Mean Reversion 
2017 Oct 11 16:57:49 [9] INFO  - 11/24/2006 12:00:00 AM,-0.00237
2017 Oct 11 16:57:49 [9] INFO  - 11/27/2006 12:00:00 AM,0.0045
2017 Oct 11 16:57:49 [9] INFO  - 11/28/2006 12:00:00 AM,-0.00028
2017 Oct 11 16:57:49 [9] INFO  - 11/29/2006 12:00:00 AM,-0.00028
2017 Oct 11 16:57:49 [9] INFO  - 11/30/2006 12:00:00 AM,-0.00649
2017 Oct 11 16:57:49 [9] INFO  - 12/1/2006 12:00:00 AM,-0.00218
2017 Oct 11 16:57:49 [9] INFO  - 12/4/2006 12:00:00 AM,0.00937
2017 Oct 11 16:57:49 [9] INFO  - 12/5/2006 12:00:00 AM,-0.00479
2017 Oct 11 16:57:49 [9] INFO  - 12/6/2006 12:00:00 AM,0.00084
2017 Oct 11 16:57:49 [9] INFO  - 12/7/2006 12:00:00 AM,0.00152
2017 Oct 11 16:57:49 [9] INFO  - 12/8/2006 12:00:00 AM,-0.00268
2017 Oct 11 16:57:49 [9] INFO  - 12/11/2006 12:00:00 AM,-9E-05
2017 Oct 11 16:57:49 [9] INFO  - 12/12/2006 12:00:00 AM,0.00175
2017 Oct 11 16:57:49 [9] INFO  - 12/13/2006 12:00:00 AM,0.00016
2017 Oct 11 16:57:49 [9] INFO  - 12/14/2006 12:00:00 AM,0.00088
2017 Oct 11 16:57:49 [9] INFO  - 12/15/2006 12:00:00 AM,0.00339
2017 Oct 11 16:57:49 [9] INFO  - 12/18/2006 12:00:00 AM,0.00036
2017 Oct 11 16:57:49 [9] INFO  - 12/19/2006 12:00:00 AM,0.00107
2017 Oct 11 16:57:49 [9] INFO  - 12/20/2006 12:00:00 AM,-0.00303
2017 Oct 11 16:57:49 [9] INFO  - 12/21/2006 12:00:00 AM,-0.00011
2017 Oct 11 16:57:49 [9] INFO  - 12/22/2006 12:00:00 AM,-0.00504
2017 Oct 11 16:57:49 [9] INFO  - 12/26/2006 12:00:00 AM,
2017 Oct 11 16:57:49 [9] INFO  - 12/27/2006 12:00:00 AM,0.00127
2017 Oct 11 16:57:49 [9] INFO  - 12/28/2006 12:00:00 AM,0.0006
2017 Oct 11 16:57:49 [9] INFO  - 12/29/2006 12:00:00 AM,0.00096
2017 Oct 11 16:57:49 [9] INFO  - 1/3/2007 12:00:00 AM,0.00776
2017 Oct 11 16:57:49 [9] INFO  - 1/4/2007 12:00:00 AM,-0.00146
2017 Oct 11 16:57:49 [9] INFO  - 1/5/2007 12:00:00 AM,-0.00071
2017 Oct 11 16:57:49 [9] INFO  - 1/8/2007 12:00:00 AM,0.00015
2017 Oct 11 16:57:49 [9] INFO  - 1/9/2007 12:00:00 AM,-0.00251
2017 Oct 11 16:57:49 [9] INFO  - 1/10/2007 12:00:00 AM,-0.00086
2017 Oct 11 16:57:49 [9] INFO  - 1/11/2007 12:00:00 AM,0.00037
2017 Oct 11 16:57:49 [9] INFO  - 1/12/2007 12:00:00 AM,-0.00015
2017 Oct 11 16:57:49 [9] INFO  - 1/16/2007 12:00:00 AM,0.00324
2017 Oct 11 16:57:49 [9] INFO  - 1/17/2007 12:00:00 AM,0.00512
2017 Oct 11 16:57:49 [9] INFO  - 1/18/2007 12:00:00 AM,0.00137
2017 Oct 11 16:57:49 [9] INFO  - 1/19/2007 12:00:00 AM,0.00028
2017 Oct 11 16:57:49 [9] INFO  - 1/22/2007 12:00:00 AM,-0.00015
2017 Oct 11 16:57:49 [9] INFO  - 1/23/2007 12:00:00 AM,-0.00085
2017 Oct 11 16:57:49 [9] INFO  - 1/24/2007 12:00:00 AM,0.00073
2017 Oct 11 16:57:49 [9] INFO  - 1/25/2007 12:00:00 AM,0.00116
2017 Oct 11 16:57:49 [9] INFO  - 1/26/2007 12:00:00 AM,-0.00175
2017 Oct 11 16:57:49 [9] INFO  - 1/29/2007 12:00:00 AM,-0.00027
2017 Oct 11 16:57:49 [9] INFO  - 1/30/2007 12:00:00 AM,-0.00429
2017 Oct 11 16:57:49 [9] INFO  - 1/31/2007 12:00:00 AM,0.00374
